C,P,I,time_pred,recall_pred,P_C_ratio
2848,41,6,2.17,0.9852,0.0144
2848,43,6,2.17,0.9852,0.0151
2848,45,6,2.17,0.9852,0.0158
2848,47,6,2.17,0.9852,0.0165
2848,49,6,2.17,0.9852,0.0172
2848,51,6,2.17,0.9852,0.0179
2848,53,6,2.17,0.9852,0.0186
2848,55,6,2.17,0.9852,0.0193
2880,41,6,2.17,0.9852,0.0142
2880,43,6,2.17,0.9852,0.0149
2880,45,6,2.17,0.9852,0.0156
2880,47,6,2.17,0.9852,0.0163
2880,49,6,2.17,0.9852,0.017
2880,51,6,2.17,0.9852,0.0177
2880,53,6,2.17,0.9852,0.0184
2880,55,6,2.17,0.9852,0.0191
2912,41,6,2.17,0.9852,0.0141
2912,43,6,2.17,0.9852,0.0148
2912,45,6,2.17,0.9852,0.0155
2912,47,6,2.17,0.9852,0.0161
2912,49,6,2.17,0.9852,0.0168
2912,51,6,2.17,0.9852,0.0175
2912,53,6,2.17,0.9852,0.0182
2912,55,6,2.17,0.9852,0.0189
2944,41,6,2.17,0.9852,0.0139
2944,43,6,2.17,0.9852,0.0146
2944,45,6,2.17,0.9852,0.0153
2944,47,6,2.17,0.9852,0.016
2944,49,6,2.17,0.9852,0.0166
2944,51,6,2.17,0.9852,0.0173
2944,53,6,2.17,0.9852,0.018
2944,55,6,2.17,0.9852,0.0187
2976,41,6,2.17,0.9852,0.0138
2976,43,6,2.17,0.9852,0.0144
2976,45,6,2.17,0.9852,0.0151
2976,47,6,2.17,0.9852,0.0158
2976,49,6,2.17,0.9852,0.0165
2976,51,6,2.17,0.9852,0.0171
2976,53,6,2.17,0.9852,0.0178
2976,55,6,2.17,0.9852,0.0185
3008,41,6,2.17,0.9852,0.0136
3008,43,6,2.17,0.9852,0.0143
3008,45,6,2.17,0.9852,0.015
3008,47,6,2.17,0.9852,0.0156
3008,49,6,2.17,0.9852,0.0163
3008,51,6,2.17,0.9852,0.017
3008,53,6,2.17,0.9852,0.0176
3008,55,6,2.17,0.9852,0.0183
3040,41,6,2.17,0.9852,0.0135
3040,43,6,2.17,0.9852,0.0141
3040,45,6,2.17,0.9852,0.0148
3040,47,6,2.17,0.9852,0.0155
3040,49,6,2.17,0.9852,0.0161
3040,51,6,2.17,0.9852,0.0168
3040,53,6,2.17,0.9852,0.0174
3040,55,6,2.17,0.9852,0.0181
3072,41,6,2.17,0.9852,0.0133
3072,43,6,2.17,0.9852,0.014
3072,45,6,2.17,0.9852,0.0146
3072,47,6,2.17,0.9852,0.0153
3072,49,6,2.17,0.9852,0.016
3072,51,6,2.17,0.9852,0.0166
3072,53,6,2.17,0.9852,0.0173
3072,55,6,2.17,0.9852,0.0179
3104,41,6,2.17,0.9852,0.0132
3104,43,6,2.17,0.9852,0.0139
3104,45,6,2.17,0.9852,0.0145
3104,47,6,2.17,0.9852,0.0151
3104,49,6,2.17,0.9852,0.0158
3104,51,6,2.17,0.9852,0.0164
3104,53,6,2.17,0.9852,0.0171
3104,55,6,2.17,0.9852,0.0177
3136,41,6,2.17,0.9852,0.0131
3136,43,6,2.17,0.9852,0.0137
3136,45,6,2.17,0.9852,0.0143
3136,47,6,2.17,0.9852,0.015
3136,49,6,2.17,0.9852,0.0156
3136,51,6,2.17,0.9852,0.0163
3136,53,6,2.17,0.9852,0.0169
3136,55,6,2.17,0.9852,0.0175
3168,41,6,2.17,0.9852,0.0129
3168,43,6,2.17,0.9852,0.0136
3168,45,6,2.17,0.9852,0.0142
3168,47,6,2.17,0.9852,0.0148
3168,49,6,2.17,0.9852,0.0155
3168,51,6,2.17,0.9852,0.0161
3168,53,6,2.17,0.9852,0.0167
3168,55,6,2.17,0.9852,0.0174
3200,41,6,2.17,0.9852,0.0128
3200,43,6,2.17,0.9852,0.0134
3200,45,6,2.17,0.9852,0.0141
3200,47,6,2.17,0.9852,0.0147
3200,49,6,2.17,0.9852,0.0153
3200,51,6,2.17,0.9852,0.0159
3200,53,6,2.17,0.9852,0.0166
3200,55,6,2.17,0.9852,0.0172
3232,41,6,2.17,0.9852,0.0127
3232,43,6,2.17,0.9852,0.0133
3232,45,6,2.17,0.9852,0.0139
3232,47,6,2.17,0.9852,0.0145
3232,49,6,2.17,0.9852,0.0152
3232,51,6,2.17,0.9852,0.0158
3232,53,6,2.17,0.9852,0.0164
3232,55,6,2.17,0.9852,0.017
3264,41,6,2.17,0.9852,0.0126
3264,43,6,2.17,0.9852,0.0132
3264,45,6,2.17,0.9852,0.0138
3264,47,6,2.17,0.9852,0.0144
3264,49,6,2.17,0.9852,0.015
3264,51,6,2.17,0.9852,0.0156
3264,53,6,2.17,0.9852,0.0162
3264,55,6,2.17,0.9852,0.0169
3296,41,6,2.17,0.9852,0.0124
3296,43,6,2.17,0.9852,0.013
3296,45,6,2.17,0.9852,0.0137
3296,47,6,2.17,0.9852,0.0143
3296,49,6,2.17,0.9852,0.0149
3296,51,6,2.17,0.9852,0.0155
3296,53,6,2.17,0.9852,0.0161
3296,55,6,2.17,0.9852,0.0167
3328,41,6,2.17,0.9852,0.0123
3328,43,6,2.17,0.9852,0.0129
3328,45,6,2.17,0.9852,0.0135
3328,47,6,2.17,0.9852,0.0141
3328,49,6,2.17,0.9852,0.0147
3328,51,6,2.17,0.9852,0.0153
3328,53,6,2.17,0.9852,0.0159
3328,55,6,2.17,0.9852,0.0165
3360,41,6,2.17,0.9852,0.0122
3360,43,6,2.17,0.9852,0.0128
3360,45,6,2.17,0.9852,0.0134
3360,47,6,2.17,0.9852,0.014
3360,49,6,2.17,0.9852,0.0146
3360,51,6,2.17,0.9852,0.0152
3360,53,6,2.17,0.9852,0.0158
3360,55,6,2.17,0.9852,0.0164
3392,41,6,2.17,0.9852,0.0121
3392,43,6,2.17,0.9852,0.0127
3392,45,6,2.17,0.9852,0.0133
3392,47,6,2.17,0.9852,0.0139
3392,49,6,2.17,0.9852,0.0144
3392,51,6,2.17,0.9852,0.015
3392,53,6,2.17,0.9852,0.0156
3392,55,6,2.17,0.9852,0.0162
3424,41,6,2.17,0.9852,0.012
3424,43,6,2.17,0.9852,0.0126
3424,45,6,2.17,0.9852,0.0131
3424,47,6,2.17,0.9852,0.0137
3424,49,6,2.17,0.9852,0.0143
3424,51,6,2.17,0.9852,0.0149
3424,53,6,2.17,0.9852,0.0155
3424,55,6,2.17,0.9852,0.0161
3456,41,6,2.17,0.9852,0.0119
3456,43,6,2.17,0.9852,0.0124
3456,45,6,2.17,0.9852,0.013
3456,47,6,2.17,0.9852,0.0136
3456,49,6,2.17,0.9852,0.0142
3456,51,6,2.17,0.9852,0.0148
3456,53,6,2.17,0.9852,0.0153
3456,55,6,2.17,0.9852,0.0159
3488,41,6,2.17,0.9852,0.0118
3488,43,6,2.17,0.9852,0.0123
3488,45,6,2.17,0.9852,0.0129
3488,47,6,2.17,0.9852,0.0135
3488,49,6,2.17,0.9852,0.014
3488,51,6,2.17,0.9852,0.0146
3488,53,6,2.17,0.9852,0.0152
3488,55,6,2.17,0.9852,0.0158
3520,41,6,2.17,0.9852,0.0116
3520,43,6,2.17,0.9852,0.0122
3520,45,6,2.17,0.9852,0.0128
3520,47,6,2.17,0.9852,0.0134
3520,49,6,2.17,0.9852,0.0139
3520,51,6,2.17,0.9852,0.0145
3520,53,6,2.17,0.9852,0.0151
3520,55,6,2.17,0.9852,0.0156
3552,41,6,2.17,0.9852,0.0115
3552,43,6,2.17,0.9852,0.0121
3552,45,6,2.17,0.9852,0.0127
3552,47,6,2.17,0.9852,0.0132
3552,49,6,2.17,0.9852,0.0138
3552,51,6,2.17,0.9852,0.0144
3552,53,6,2.17,0.9852,0.0149
3552,55,6,2.17,0.9852,0.0155
3584,41,6,2.17,0.9852,0.0114
3584,43,6,2.17,0.9852,0.012
3584,45,6,2.17,0.9852,0.0126
3584,47,6,2.17,0.9852,0.0131
3584,49,6,2.17,0.9852,0.0137
3584,51,6,2.17,0.9852,0.0142
3584,53,6,2.17,0.9852,0.0148
3584,55,6,2.17,0.9852,0.0153
3616,41,6,2.17,0.9821,0.0113
3616,43,6,2.17,0.9821,0.0119
3616,45,6,2.17,0.9821,0.0124
3616,47,6,2.17,0.9821,0.013
3616,49,6,2.17,0.9821,0.0136
3616,51,6,2.17,0.9821,0.0141
3616,53,6,2.17,0.9821,0.0147
3616,55,6,2.17,0.9821,0.0152
3648,41,6,2.17,0.9821,0.0112
3648,43,6,2.17,0.9821,0.0118
3648,45,6,2.17,0.9821,0.0123
3648,47,6,2.17,0.9821,0.0129
3648,49,6,2.17,0.9821,0.0134
3648,51,6,2.17,0.9821,0.014
3648,53,6,2.17,0.9821,0.0145
3648,55,6,2.17,0.9821,0.0151
3680,41,6,2.17,0.9821,0.0111
3680,43,6,2.17,0.9821,0.0117
3680,45,6,2.17,0.9821,0.0122
3680,47,6,2.17,0.9821,0.0128
3680,49,6,2.17,0.9821,0.0133
3680,51,6,2.17,0.9821,0.0139
3680,53,6,2.17,0.9821,0.0144
3680,55,6,2.17,0.9821,0.0149
3712,41,6,2.17,0.9821,0.011
3712,43,6,2.17,0.9821,0.0116
3712,45,6,2.17,0.9821,0.0121
3712,47,6,2.17,0.9821,0.0127
3712,49,6,2.17,0.9821,0.0132
3712,51,6,2.17,0.9821,0.0137
3712,53,6,2.17,0.9821,0.0143
3712,55,6,2.17,0.9821,0.0148
3744,41,6,2.17,0.9821,0.011
3744,43,6,2.17,0.9821,0.0115
3744,45,6,2.17,0.9821,0.012
3744,47,6,2.17,0.9821,0.0126
3744,49,6,2.17,0.9821,0.0131
3744,51,6,2.17,0.9821,0.0136
3744,53,6,2.17,0.9821,0.0142
3744,55,6,2.17,0.9821,0.0147
3776,41,6,2.17,0.9821,0.0109
3776,43,6,2.17,0.9821,0.0114
3776,45,6,2.17,0.9821,0.0119
3776,47,6,2.17,0.9821,0.0124
3776,49,6,2.17,0.9821,0.013
3776,51,6,2.17,0.9821,0.0135
3776,53,6,2.17,0.9821,0.014
3776,55,6,2.17,0.9821,0.0146
3808,41,6,2.17,0.9821,0.0108
3808,43,6,2.17,0.9821,0.0113
3808,45,6,2.17,0.9821,0.0118
3808,47,6,2.17,0.9821,0.0123
3808,49,6,2.17,0.9821,0.0129
3808,51,6,2.17,0.9821,0.0134
3808,53,6,2.17,0.9821,0.0139
3808,55,6,2.17,0.9821,0.0144
3840,41,6,2.17,0.9821,0.0107
3840,43,6,2.17,0.9821,0.0112
3840,45,6,2.17,0.9821,0.0117
3840,47,6,2.17,0.9821,0.0122
3840,49,6,2.17,0.9821,0.0128
3840,51,6,2.17,0.9821,0.0133
3840,53,6,2.17,0.9821,0.0138
3840,55,6,2.17,0.9821,0.0143
3872,41,6,2.17,0.9821,0.0106
3872,43,6,2.17,0.9821,0.0111
3872,45,6,2.17,0.9821,0.0116
3872,47,6,2.17,0.9821,0.0121
3872,49,6,2.17,0.9821,0.0127
3872,51,6,2.17,0.9821,0.0132
3872,53,6,2.17,0.9821,0.0137
3872,55,6,2.17,0.9821,0.0142
3904,41,6,2.17,0.9821,0.0105
3904,43,6,2.17,0.9821,0.011
3904,45,6,2.17,0.9821,0.0115
3904,47,6,2.17,0.9821,0.012
3904,49,6,2.17,0.9821,0.0126
3904,51,6,2.17,0.9821,0.0131
3904,53,6,2.17,0.9821,0.0136
3904,55,6,2.17,0.9821,0.0141
3936,41,6,2.17,0.9821,0.0104
3936,43,6,2.17,0.9821,0.0109
3936,45,6,2.17,0.9821,0.0114
3936,47,6,2.17,0.9821,0.0119
3936,49,6,2.17,0.9821,0.0124
3936,51,6,2.17,0.9821,0.013
3936,53,6,2.17,0.9821,0.0135
3936,55,6,2.17,0.9821,0.014
3968,41,6,2.17,0.9821,0.0103
3968,43,6,2.17,0.9821,0.0108
3968,45,6,2.17,0.9821,0.0113
3968,47,6,2.17,0.9821,0.0118
3968,49,6,2.17,0.9821,0.0123
3968,51,6,2.17,0.9821,0.0129
3968,53,6,2.17,0.9821,0.0134
3968,55,6,2.17,0.9821,0.0139
4000,41,6,2.17,0.9821,0.0103
4000,43,6,2.17,0.9821,0.0107
4000,45,6,2.17,0.9821,0.0112
4000,47,6,2.17,0.9821,0.0118
4000,49,6,2.17,0.9821,0.0123
4000,51,6,2.17,0.9821,0.0127
4000,53,6,2.17,0.9821,0.0132
4000,55,6,2.17,0.9821,0.0138
4032,41,6,2.17,0.9821,0.0102
4032,43,6,2.17,0.9821,0.0107
4032,45,6,2.17,0.9821,0.0112
4032,47,6,2.17,0.9821,0.0117
4032,49,6,2.17,0.9821,0.0122
4032,51,6,2.17,0.9821,0.0126
4032,53,6,2.17,0.9821,0.0131
4032,55,6,2.17,0.9821,0.0136
4064,41,6,2.17,0.9821,0.0101
4064,43,6,2.17,0.9821,0.0106
4064,45,6,2.17,0.9821,0.0111
4064,47,6,2.17,0.9821,0.0116
4064,49,6,2.17,0.9821,0.0121
4064,51,6,2.17,0.9821,0.0125
4064,53,6,2.17,0.9821,0.013
4064,55,6,2.17,0.9821,0.0135
4096,41,6,2.17,0.9821,0.01
4096,43,6,2.17,0.9821,0.0105
4096,45,6,2.17,0.9821,0.011
4096,47,6,2.17,0.9821,0.0115
4096,49,6,2.17,0.9821,0.012
4096,51,6,2.17,0.9821,0.0125
4096,53,6,2.17,0.9821,0.0129
4096,55,6,2.17,0.9821,0.0134
4128,41,6,2.17,0.9821,0.0099
4128,43,6,2.17,0.9821,0.0104
4128,45,6,2.17,0.9821,0.0109
4128,47,6,2.17,0.9821,0.0114
4128,49,6,2.17,0.9821,0.0119
4128,51,6,2.17,0.9821,0.0124
4128,53,6,2.17,0.9821,0.0128
4128,55,6,2.17,0.9821,0.0133
4160,41,6,2.17,0.9821,0.0099
4160,43,6,2.17,0.9821,0.0103
4160,45,6,2.17,0.9821,0.0108
4160,47,6,2.17,0.9821,0.0113
4160,49,6,2.17,0.9821,0.0118
4160,51,6,2.17,0.9821,0.0123
4160,53,6,2.17,0.9821,0.0127
4160,55,6,2.17,0.9821,0.0132
4192,41,6,2.17,0.9821,0.0098
4192,43,6,2.17,0.9821,0.0103
4192,45,6,2.17,0.9821,0.0107
4192,47,6,2.17,0.9821,0.0112
4192,49,6,2.17,0.9821,0.0117
4192,51,6,2.17,0.9821,0.0122
4192,53,6,2.17,0.9821,0.0126
4192,55,6,2.17,0.9821,0.0131
4224,41,6,2.17,0.9821,0.0097
4224,43,6,2.17,0.9821,0.0102
4224,45,6,2.17,0.9821,0.0107
4224,47,6,2.17,0.9821,0.0111
4224,49,6,2.17,0.9821,0.0116
4224,51,6,2.17,0.9821,0.0121
4224,53,6,2.17,0.9821,0.0125
4224,55,6,2.17,0.9821,0.013
4256,41,6,2.17,0.9821,0.0096
4256,43,6,2.17,0.9821,0.0101
4256,45,6,2.17,0.9821,0.0106
4256,47,6,2.17,0.9821,0.011
4256,49,6,2.17,0.9821,0.0115
4256,51,6,2.17,0.9821,0.012
4256,53,6,2.17,0.9821,0.0125
4256,55,6,2.17,0.9821,0.0129
4288,41,6,2.17,0.9821,0.0096
4288,43,6,2.17,0.9821,0.01
4288,45,6,2.17,0.9821,0.0105
4288,47,6,2.17,0.9821,0.011
4288,49,6,2.17,0.9821,0.0114
4288,51,6,2.17,0.9821,0.0119
4288,53,6,2.17,0.9821,0.0124
4288,55,6,2.17,0.9821,0.0128
4320,41,6,2.17,0.9821,0.0095
4320,43,6,2.17,0.9821,0.01
4320,45,6,2.17,0.9821,0.0104
4320,47,6,2.17,0.9821,0.0109
4320,49,6,2.17,0.9821,0.0113
4320,51,6,2.17,0.9821,0.0118
4320,53,6,2.17,0.9821,0.0123
4320,55,6,2.17,0.9821,0.0127
4352,41,6,2.17,0.9821,0.0094
4352,43,6,2.17,0.9821,0.0099
4352,45,6,2.17,0.9821,0.0103
4352,47,6,2.17,0.9821,0.0108
4352,49,6,2.17,0.9821,0.0113
4352,51,6,2.17,0.9821,0.0117
4352,53,6,2.17,0.9821,0.0122
4352,55,6,2.17,0.9821,0.0126
4384,41,6,2.17,0.9821,0.0094
4384,43,6,2.17,0.9821,0.0098
4384,45,6,2.17,0.9821,0.0103
4384,47,6,2.17,0.9821,0.0107
4384,49,6,2.17,0.9821,0.0112
4384,51,6,2.17,0.9821,0.0116
4384,53,6,2.17,0.9821,0.0121
4384,55,6,2.17,0.9821,0.0125
4416,41,6,2.17,0.9821,0.0093
4416,43,6,2.17,0.9821,0.0097
4416,45,6,2.17,0.9821,0.0102
4416,47,6,2.17,0.9821,0.0106
4416,49,6,2.17,0.9821,0.0111
4416,51,6,2.17,0.9821,0.0115
4416,53,6,2.17,0.9821,0.012
4416,55,6,2.17,0.9821,0.0125
4448,41,6,2.17,0.9821,0.0092
4448,43,6,2.17,0.9821,0.0097
4448,45,6,2.17,0.9821,0.0101
4448,47,6,2.17,0.9821,0.0106
4448,49,6,2.17,0.9821,0.011
4448,51,6,2.17,0.9821,0.0115
4448,53,6,2.17,0.9821,0.0119
4448,55,6,2.17,0.9821,0.0124
4480,41,6,2.17,0.9821,0.0092
4480,43,6,2.17,0.9821,0.0096
4480,45,6,2.17,0.9821,0.01
4480,47,6,2.17,0.9821,0.0105
4480,49,6,2.17,0.9821,0.0109
4480,51,6,2.17,0.9821,0.0114
4480,53,6,2.17,0.9821,0.0118
4480,55,6,2.17,0.9821,0.0123
4512,41,6,2.17,0.9821,0.0091
4512,43,6,2.17,0.9821,0.0095
4512,45,6,2.17,0.9821,0.01
4512,47,6,2.17,0.9821,0.0104
4512,49,6,2.17,0.9821,0.0109
4512,51,6,2.17,0.9821,0.0113
4512,53,6,2.17,0.9821,0.0117
4512,55,6,2.17,0.9821,0.0122
4544,41,6,2.17,0.9821,0.009
4544,43,6,2.17,0.9821,0.0095
4544,45,6,2.17,0.9821,0.0099
4544,47,6,2.17,0.9821,0.0103
4544,49,6,2.17,0.9821,0.0108
4544,51,6,2.17,0.9821,0.0112
4544,53,6,2.17,0.9821,0.0117
4544,55,6,2.17,0.9821,0.0121
4576,41,6,2.17,0.9821,0.009
4576,43,6,2.17,0.9821,0.0094
4576,45,6,2.17,0.9821,0.0098
4576,47,6,2.17,0.9821,0.0103
4576,49,6,2.17,0.9821,0.0107
4576,51,6,2.17,0.9821,0.0111
4576,53,6,2.17,0.9821,0.0116
4576,55,6,2.17,0.9821,0.012
4608,41,6,2.17,0.9821,0.0089
4608,43,6,2.17,0.9821,0.0093
4608,45,6,2.17,0.9821,0.0098
4608,47,6,2.17,0.9821,0.0102
4608,49,6,2.17,0.9821,0.0106
4608,51,6,2.17,0.9821,0.0111
4608,53,6,2.17,0.9821,0.0115
4608,55,6,2.17,0.9821,0.0119
4640,41,6,2.19,0.9805,0.0088
4640,43,6,2.19,0.9805,0.0093
4640,45,6,2.19,0.9805,0.0097
4640,47,6,2.19,0.9805,0.0101
4640,49,6,2.19,0.9805,0.0106
4640,51,6,2.19,0.9805,0.011
4640,53,6,2.19,0.9805,0.0114
4640,55,6,2.19,0.9805,0.0119
4672,41,6,2.19,0.9805,0.0088
4672,43,6,2.19,0.9805,0.0092
4672,45,6,2.19,0.9805,0.0096
4672,47,6,2.19,0.9805,0.0101
4672,49,6,2.19,0.9805,0.0105
4672,51,6,2.19,0.9805,0.0109
4672,53,6,2.19,0.9805,0.0113
4672,55,6,2.19,0.9805,0.0118
4704,41,6,2.19,0.9805,0.0087
4704,43,6,2.19,0.9805,0.0091
4704,45,6,2.19,0.9805,0.0096
4704,47,6,2.19,0.9805,0.01
4704,49,6,2.19,0.9805,0.0104
4704,51,6,2.19,0.9805,0.0108
4704,53,6,2.19,0.9805,0.0113
4704,55,6,2.19,0.9805,0.0117
4736,41,6,2.19,0.9805,0.0087
4736,43,6,2.19,0.9805,0.0091
4736,45,6,2.19,0.9805,0.0095
4736,47,6,2.19,0.9805,0.0099
4736,49,6,2.19,0.9805,0.0103
4736,51,6,2.19,0.9805,0.0108
4736,53,6,2.19,0.9805,0.0112
4736,55,6,2.19,0.9805,0.0116
4768,41,6,2.19,0.9805,0.0086
4768,43,6,2.19,0.9805,0.009
4768,45,6,2.19,0.9805,0.0094
4768,47,6,2.19,0.9805,0.0099
4768,49,6,2.19,0.9805,0.0103
4768,51,6,2.19,0.9805,0.0107
4768,53,6,2.19,0.9805,0.0111
4768,55,6,2.19,0.9805,0.0115
4800,41,6,2.19,0.9805,0.0085
4800,43,6,2.19,0.9805,0.009
4800,45,6,2.19,0.9805,0.0094
4800,47,6,2.19,0.9805,0.0098
4800,49,6,2.19,0.9805,0.0102
4800,51,6,2.19,0.9805,0.0106
4800,53,6,2.19,0.9805,0.011
4800,55,6,2.19,0.9805,0.0115
4832,41,6,2.19,0.9805,0.0085
