NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,ELAPSED_mean,AVG_QUERY_TIME_MS_mean,INDEX_BUILD_TIME_s_mean,runs
32,4,2,0.7619,32.0,14.35,2.0,2
32,4,4,0.8626,35.0,17.12,2.0,2
32,4,8,0.9367,40.0,22.33,2.0,1
32,4,16,0.9859,54.4,37.013999999999996,1.4,5
32,4,32,1.0,86.0,68.4,2.5,2
32,4,48,1.0,83.0,65.19,2.0,2
32,4,64,1.0,86.0,69.39,2.0,3
32,4,80,1.0,86.0,67.74,2.0,1
32,4,128,1.0,108.66666666666667,69.39999999999999,2.0,3
32,4,144,1.0,88.0,69.41,2.0,1
32,4,200,1.0,86.0,69.39,2.0,1
32,4,256,1.0,86.5,69.71000000000001,2.0,2
32,4,324,1.0,86.0,68.25,2.0,1
32,4,400,1.0,87.0,69.2,2.0,1
32,4,512,1.0,88.0,71.025,1.5,2
32,4,648,1.0,87.0,68.97,2.0,1
32,4,800,1.0,85.0,68.63,2.0,1
32,4,1024,1.0,84.0,68.34,2.0,1
32,8,4,0.8818,36.0,18.9,3.0,2
32,8,16,0.9889,57.0,38.98,3.0,1
32,8,32,1.0,92.0,73.63,3.0,1
32,8,64,1.0,92.0,74.44,3.0,1
32,8,80,1.0,93.0,75.17,3.0,1
32,8,128,1.0,91.0,72.38,3.0,1
32,8,144,1.0,92.0,73.17,3.0,1
32,8,200,1.0,93.0,73.39,3.0,1
32,8,256,1.0,92.0,74.75,3.0,1
32,8,324,1.0,92.0,74.35,3.0,1
32,8,400,1.0,88.0,68.7,3.0,1
32,8,512,1.0,87.0,67.72,3.0,1
32,8,648,1.0,84.0,65.48,3.0,1
32,8,800,1.0,90.0,70.62,3.0,1
32,16,4,0.8915,38.0,19.17,5.0,1
32,16,32,1.0,94.0,74.94,4.0,1
32,16,48,1.0,95.0,74.48,5.0,1
32,16,64,1.0,96.0,76.87,4.0,1
32,20,4,0.8942,41.0,19.33,6.0,1
32,32,4,0.8962,43.0,19.26,8.0,1
64,4,2,0.7071,27.0,9.1,4.0,1
64,4,8,0.8934,32.0,13.26,4.0,1
64,4,16,0.9508,38.0,19.083333333333332,4.0,3
64,4,32,0.9883,55.0,35.959999999999994,3.5,2
64,4,48,0.998,71.0,51.6,4.0,1
64,4,64,1.0,88.0,69.595,4.0,2
64,4,80,1.0,88.0,69.97,4.0,1
64,4,128,1.0,87.0,67.47,4.0,2
64,4,144,1.0,91.0,72.32,4.0,1
64,4,200,1.0,91.0,71.69,3.0,1
64,4,256,1.0,91.0,71.56,4.5,2
64,4,324,1.0,91.0,71.27,4.0,1
64,4,400,1.0,92.0,72.78,4.0,1
64,4,512,1.0,90.0,70.02,4.0,1
64,4,648,1.0,89.0,71.03,4.0,1
64,4,800,1.0,90.0,72.02,3.0,1
64,4,1024,1.0,88.0,69.72,3.0,1
64,8,16,0.9562,40.0,20.58,6.0,1
64,8,32,0.9903,59.0,38.56,6.0,1
64,8,64,1.0,89.0,69.91,6.0,1
64,8,80,1.0,91.0,71.12,6.0,1
64,8,128,1.0,91.0,69.44,6.0,1
64,8,144,1.0,90.0,69.59,6.0,1
64,8,200,1.0,91.0,69.71,6.0,1
64,8,256,1.0,89.0,69.05,6.0,1
64,8,324,1.0,92.0,71.0,6.0,1
64,8,400,1.0,89.0,66.22,6.0,1
64,8,512,1.0,87.0,65.16,6.0,1
64,8,648,1.0,79.0,58.52,6.0,1
64,8,800,1.0,89.0,68.53,6.0,1
64,16,8,0.9137,86.0,13.35,11.0,1
64,16,16,0.9627,71.0,21.53,11.0,1
64,16,32,0.992,80.0,39.24666666666667,9.666666666666666,3
64,16,48,0.9988,76.0,52.15,8.0,1
64,16,64,1.0,111.0,70.92666666666666,10.0,3
64,16,128,1.0,122.0,70.43,11.0,3
64,16,256,1.0,123.0,74.16,11.0,1
64,16,512,1.0,123.0,73.25,10.0,1
64,32,8,0.9173,70.0,14.1,16.0,1
64,32,16,0.9634,77.0,22.8,15.0,1
64,32,32,0.9915,95.0,40.74,16.0,1
64,32,64,1.0,128.0,73.57,15.0,1
64,32,128,1.0,129.0,73.47,16.0,1
64,32,256,1.0,127.0,73.58,16.0,1
64,32,512,1.0,128.0,73.38,16.0,1
80,4,2,0.6942,27.0,7.26,5.0,1
80,4,8,0.8797,30.0,10.95,5.0,1
80,4,16,0.9366,35.5,15.15,5.0,2
80,4,32,0.9812,49.5,29.085,5.0,2
80,4,48,0.9946,63.0,42.06,5.0,1
80,4,64,0.9989,76.5,56.08,5.0,2
80,4,80,1.0,91.0,69.41,5.0,1
80,4,128,1.0,90.5,71.265,5.0,2
80,4,144,1.0,91.0,71.9,5.0,1
80,4,200,1.0,92.0,72.73,4.0,1
80,4,256,1.0,91.0,71.2,5.0,2
80,4,324,1.0,92.0,72.28,5.0,1
80,4,400,1.0,92.0,72.19,5.0,1
80,4,512,1.0,92.0,71.19,5.0,1
80,4,648,1.0,91.0,69.79,5.0,1
80,4,800,1.0,92.0,71.82,4.0,1
80,4,1024,1.0,90.0,69.45,5.0,1
80,8,32,0.9875,51.0,30.71,7.0,1
80,8,64,0.999,78.0,57.43,7.0,1
80,8,80,1.0,93.0,72.04,7.0,1
80,8,128,1.0,95.0,72.29,7.0,1
80,8,144,1.0,93.0,71.58,5.0,1
80,8,200,1.0,93.0,70.28,7.0,1
80,8,256,1.0,92.0,70.5,7.0,1
80,8,324,1.0,93.0,69.47,7.0,1
80,8,400,1.0,91.0,67.58,7.0,1
80,8,512,1.0,87.0,64.21,7.0,1
80,8,648,1.0,88.0,66.08,6.0,1
80,8,800,1.0,91.0,70.19,7.0,1
80,16,32,0.9877,53.0,30.01,9.0,1
80,16,48,0.9951,102.0,44.605000000000004,9.5,2
80,16,64,0.999,96.5,59.205,10.0,2
128,4,2,0.6716,28.0,5.26,8.0,1
128,4,8,0.8548,30.0,7.46,8.0,1
128,4,16,0.9162,34.0,10.66,7.0,2
128,4,32,0.9601,41.5,18.375,8.5,2
128,4,48,0.9819,49.0,25.99,9.0,1
128,4,64,0.9917,58.0,35.07,7.5,2
128,4,80,0.995,65.0,42.39,8.0,1
128,4,128,1.0,93.0,69.92,9.0,2
128,4,144,1.0,94.0,70.91,8.0,1
128,4,200,1.0,94.0,70.14,8.0,1
128,4,256,1.0,94.5,71.075,8.5,2
128,4,324,1.0,93.0,70.74,8.0,1
128,4,400,1.0,95.0,71.39,7.0,1
128,4,512,1.0,94.0,69.76,8.0,1
128,4,648,1.0,94.0,70.62,7.0,1
128,4,800,1.0,93.0,70.66,7.0,1
128,4,1024,1.0,89.0,67.61,9.0,1
128,8,32,0.966,46.0,21.23,9.0,1
128,8,64,0.992,63.0,38.57,9.0,1
128,8,80,0.9958,69.0,44.23,11.0,1
128,8,128,1.0,95.0,70.23,11.0,1
128,8,144,1.0,97.0,71.81,9.0,1
128,8,200,1.0,99.0,72.62,9.0,1
128,8,256,1.0,94.0,69.28,11.0,1
128,8,324,1.0,96.0,69.37,11.0,1
128,8,400,1.0,94.0,68.17,9.0,1
128,8,512,1.0,90.0,64.3,9.0,1
128,8,648,1.0,93.0,67.93,9.0,1
128,8,800,1.0,95.0,70.95,10.0,1
128,16,8,0.8848,61.0,8.21,14.0,1
128,16,16,0.9337,64.0,12.22,14.0,1
128,16,32,0.9735,61.5,20.825000000000003,14.0,2
128,16,48,0.9884,70.5,29.825,14.5,2
128,16,64,0.9939,100.0,41.36,15.0,2
128,16,128,1.0,130.0,76.48,14.0,1
128,16,256,1.0,132.0,78.25,14.0,1
128,16,512,1.0,129.0,74.95,14.0,1
128,32,8,0.8862,70.0,8.17,23.0,1
128,32,16,0.9358,74.0,12.47,23.0,1
128,32,32,0.9753,84.0,22.35,23.0,1
128,32,64,0.9944,103.0,42.18,23.0,1
128,32,128,1.0,137.0,74.78,23.0,1
128,32,256,1.0,137.0,75.1,23.0,1
128,32,512,1.0,137.0,75.01,24.0,1
186,4,8,0.8337,32.0,5.5,12.0,1
186,4,16,0.897,34.0,7.63,11.0,2
186,4,48,0.9672,45.0,18.93,11.0,1
186,4,64,0.9814,52.0,24.455,11.5,2
186,4,80,0.9893,58.0,31.58,11.0,1
186,4,128,0.9974,75.5,49.08,11.5,2
186,4,144,0.9993,83.0,54.75,12.0,1
186,4,200,1.0,100.0,72.41,12.0,1
186,4,256,1.0,99.5,72.43,12.0,2
186,4,324,1.0,101.0,74.44,11.0,1
186,4,400,1.0,99.0,72.3,12.0,1
186,4,512,1.0,101.0,73.33,12.0,1
186,4,648,1.0,100.0,73.11,11.0,1
186,4,800,1.0,102.0,73.63,12.0,1
186,4,1024,1.0,97.0,70.79,12.0,1
186,8,64,0.9846,56.0,27.57,13.0,1
186,8,80,0.9922,61.0,31.86,13.0,1
186,8,128,0.9984,82.0,52.41,14.0,1
186,8,144,0.9999,85.0,55.78,15.0,1
186,8,200,1.0,104.0,75.04,15.0,1
186,8,256,1.0,102.0,72.53,13.0,1
186,8,324,1.0,103.0,73.69,13.0,1
186,8,400,1.0,102.0,70.42,14.0,1
186,8,512,1.0,95.0,64.98,13.0,1
186,8,648,1.0,95.0,65.43,14.0,1
186,8,800,1.0,99.0,70.24,13.0,1
186,16,48,0.9766,79.0,27.58,18.5,2
186,16,64,0.9873,113.0,47.45,18.0,1
256,4,8,0.8115,35.0,4.48,17.0,1
256,4,16,0.8776,37.0,5.89,17.0,2
256,4,64,0.9689,48.5,17.225,17.0,2
256,4,80,0.9799,54.0,22.05,16.0,1
256,4,128,0.9929,67.0,35.685,16.5,2
256,4,144,0.9952,70.0,38.39,17.0,1
256,4,200,0.9991,86.0,54.11,16.0,1
256,4,256,1.0,106.0,75.155,16.0,2
256,4,324,1.0,106.0,74.53,17.0,1
256,4,400,1.0,105.0,74.71,15.0,1
256,4,512,1.0,104.0,74.62,17.0,1
256,4,648,1.0,104.0,72.8,17.0,1
256,4,800,1.0,105.0,73.58,17.0,1
256,4,1024,1.0,106.0,73.97,16.0,1
256,8,64,0.9726,53.0,20.1,19.0,1
256,8,80,0.9834,57.0,22.42,19.0,1
256,8,128,0.9944,71.0,36.03,21.0,1
256,8,144,0.9963,75.0,40.78,19.0,1
256,8,200,0.9996,92.0,56.53,19.0,1
256,8,256,1.0,110.0,74.82,19.0,1
256,8,324,1.0,110.0,75.04,21.0,1
256,8,400,1.0,108.0,72.84,21.0,1
256,8,512,1.0,101.0,65.56,19.0,1
256,8,648,1.0,104.0,69.66,20.0,1
256,8,800,1.0,108.0,74.17,19.0,1
256,16,8,0.8383,68.0,5.17,23.0,1
256,16,16,0.8986,67.0,6.94,22.0,1
256,16,32,0.9457,72.0,11.31,23.0,1
256,16,48,0.9639,105.0,37.42,26.0,1
256,16,64,0.9766,94.0,23.02,22.0,2
256,16,128,0.9951,103.0,40.34,23.0,1
256,16,256,1.0,141.0,60.28,31.0,1
256,16,512,1.0,162.0,75.72,22.0,1
256,32,8,0.8455,101.0,6.86,39.0,1
256,32,16,0.9018,110.0,6.89,39.0,1
256,32,32,0.947,116.0,11.41,40.0,1
256,32,64,0.9778,132.0,21.15,41.0,1
256,32,128,0.9951,151.0,43.86,40.0,1
256,32,256,1.0,202.0,107.28,40.0,1
256,32,512,1.0,178.0,79.85,49.0,1
324,4,8,0.801,39.0,3.85,20.0,1
324,4,16,0.8667,39.0,4.1,21.0,1
324,4,128,0.9874,62.0,27.235,20.5,2
324,4,144,0.9902,66.0,31.31,20.0,1
324,4,200,0.9967,77.0,40.81,21.0,1
324,4,256,0.9996,91.0,55.165,21.0,2
324,4,324,1.0,110.0,75.46,20.0,1
324,4,400,1.0,111.0,74.49,21.0,1
324,4,512,1.0,111.0,75.11,21.0,1
324,4,648,1.0,109.0,72.71,21.0,1
324,4,800,1.0,112.0,76.0,19.0,1
324,4,1024,1.0,110.0,73.29,21.0,1
324,8,80,0.975,59.0,19.12,24.0,1
324,8,128,0.9908,69.0,29.15,25.0,1
324,8,144,0.9934,71.0,31.99,25.0,1
324,8,200,0.9978,85.0,44.16,25.0,1
324,8,256,0.9996,96.0,55.78,24.0,1
324,8,324,1.0,115.0,74.67,25.0,1
324,8,400,1.0,111.0,70.82,24.0,1
324,8,512,1.0,108.0,69.19,24.0,1
324,8,648,1.0,111.0,71.35,25.0,1
324,8,800,1.0,112.0,71.78,25.0,1
324,16,48,0.9567,94.0,21.82,28.0,1
324,16,64,0.9692,103.0,27.77,26.0,1
400,4,16,0.8559,45.0,4.45,25.0,1
400,4,128,0.983,62.5,22.795,25.0,2
400,4,144,0.9866,65.0,25.32,26.0,1
400,4,200,0.9946,75.0,34.38,25.0,1
400,4,256,0.998,86.5,45.34,25.5,2
400,4,324,0.9998,97.0,56.04,25.0,1
400,4,400,1.0,114.0,74.44,25.0,1
400,4,512,1.0,113.0,72.47,26.0,1
400,4,648,1.0,115.0,74.52,25.0,1
400,4,800,1.0,114.0,73.0,25.0,1
400,4,1024,1.0,111.0,70.17,27.0,1
400,8,128,0.9862,70.0,24.8,31.0,1
400,8,144,0.989,72.0,25.56,30.0,1
400,8,200,0.9961,80.0,35.69,31.0,1
400,8,256,0.9985,92.0,45.33,31.0,1
400,8,324,0.9997,102.0,55.44,30.0,1
400,8,400,1.0,116.0,68.25,31.0,1
400,8,512,1.0,112.0,64.29,31.0,1
400,8,648,1.0,114.0,68.24,31.0,1
400,16,48,0.9484,98.0,17.63,31.0,1
400,16,64,0.966,105.0,21.59,32.0,1
512,2,32,0.885,49.0,4.89,9.0,1
512,2,64,0.9356,54.0,7.68,9.0,1
512,2,128,0.9725,58.0,16.26,9.0,1
512,2,256,0.9933,75.0,33.69,9.0,1
512,4,32,0.8958,52.0,5.06,12.0,1
512,4,64,0.9397,57.0,7.99,12.0,1
512,4,128,0.975,63.666666666666664,16.386666666666667,25.666666666666668,3
512,4,144,0.9791,66.0,18.36,34.0,1
512,4,200,0.9893,75.0,26.78,34.0,1
512,4,256,0.995,79.66666666666667,31.766666666666666,26.333333333333332,3
512,4,324,0.9974,90.0,43.27,32.0,1
512,4,400,0.9994,100.0,52.28,33.0,1
512,4,512,1.0,122.0,74.39,33.0,1
512,4,648,1.0,121.0,73.76,33.0,1
512,4,800,1.0,123.0,75.29,32.0,1
512,4,1024,1.0,119.0,70.72,33.0,1
512,8,32,0.9077,60.0,5.52,19.0,1
512,8,64,0.9479,65.0,10.42,19.0,1
512,8,128,0.979,73.0,18.105,29.0,2
512,8,144,0.9826,72.0,19.68,39.0,1
512,8,200,0.9912,81.0,27.09,38.0,1
512,8,256,0.9955,92.0,33.515,28.0,2
512,8,324,0.9984,99.0,44.41,40.0,1
512,8,400,0.9997,104.0,51.14,40.0,1
512,8,512,1.0,120.0,64.23,40.0,1
512,8,648,1.0,125.0,70.43,38.0,1
512,16,8,0.801,102.0,2.96,40.0,1
512,16,16,0.862,103.0,4.03,39.0,1
512,16,32,0.9158,93.0,6.045,36.0,2
512,16,64,0.9529,97.5,11.315,36.5,2
512,16,128,0.9831,109.0,20.645,37.0,2
512,16,256,0.9971,124.0,39.625,37.0,2
512,16,512,1.0,180.0,80.9,41.0,1
800,4,200,0.98,82.0,16.32,54.0,1
800,4,256,0.9862,89.5,23.09,51.5,2
800,4,324,0.9922,93.0,26.95,51.0,1
800,4,400,0.9958,102.0,33.7,52.0,1
800,4,512,0.9986,110.0,43.95,51.0,1
800,4,648,0.9997,120.0,53.57,51.0,1
800,4,800,1.0,140.0,72.36,52.0,1
800,4,1024,1.0,138.0,71.14,51.0,1
800,8,144,0.9714,88.0,11.93,61.0,1
800,8,200,0.9822,95.0,16.9,62.0,1
800,8,256,0.9894,99.0,22.31,61.0,1
800,8,324,0.9937,104.0,27.35,63.0,1
800,8,400,0.9968,109.0,33.15,61.0,1
800,8,512,0.9993,115.0,38.96,62.0,1
800,8,648,0.9998,128.0,48.09,63.0,1
1024,2,32,0.8519,55.0,3.78,13.0,1
1024,2,64,0.9059,56.0,5.24,12.0,1
1024,2,128,0.9479,60.0,8.72,12.0,1
1024,2,256,0.9799,73.0,17.72,18.0,1
1024,4,32,0.8613,62.0,3.61,20.0,1
1024,4,64,0.9141,65.0,5.19,20.0,1
1024,4,128,0.9499,68.0,9.31,20.0,1
1024,4,200,0.972,93.0,12.68,65.0,1
1024,4,256,0.9811,91.33333333333333,17.393333333333334,51.333333333333336,3
1024,4,324,0.9875,101.0,21.68,64.0,1
1024,4,400,0.9928,105.0,25.31,66.0,1
1024,4,512,0.9972,115.0,34.56,66.0,1
1024,4,648,0.9985,122.0,41.69,65.0,1
1024,4,800,0.9998,137.0,54.3,66.0,1
1024,4,1024,1.0,151.0,71.91,66.0,1
1024,8,32,0.874,82.0,3.54,39.0,1
1024,8,64,0.92,77.0,5.45,34.0,1
1024,8,128,0.9556,83.0,9.93,34.0,1
1024,8,200,0.9763,108.0,14.46,78.0,1
1024,8,256,0.9838,100.5,17.880000000000003,56.5,2
1024,8,324,0.9897,114.0,20.63,78.0,1
1024,8,400,0.9943,120.0,26.19,78.0,1
1024,8,512,0.9976,124.0,29.54,80.0,1
1024,8,648,0.9992,134.0,38.44,81.0,1
1024,16,32,0.8788,111.0,3.66,69.0,1
1024,16,64,0.926,106.0,5.4,62.0,1
1024,16,128,0.9599,112.0,10.26,64.0,1
1024,16,256,0.9856,120.0,18.75,63.0,1
1600,4,256,0.9691,130.5,11.83,104.0,2
1600,4,324,0.9773,132.0,13.98,104.0,1
1600,4,400,0.9828,139.0,17.31,107.0,1
1600,4,512,0.9899,140.0,21.13,104.0,1
1600,4,648,0.9949,144.0,25.61,103.0,1
1600,4,800,0.9975,151.0,33.83,103.0,1
1600,4,1024,0.999,160.0,42.73,103.0,1
1600,8,256,0.9686,151.0,12.71,123.0,1
1600,8,324,0.9774,153.0,12.94,124.0,1
1600,8,400,0.9859,153.0,15.78,124.0,1
1600,8,512,0.9911,155.0,16.6,124.0,1
1600,8,648,0.9959,162.0,23.17,123.0,1
2048,2,32,0.8189,66.0,3.17,25.0,1
2048,2,64,0.8781,66.0,3.79,25.0,1
2048,2,128,0.921,68.0,5.49,25.0,1
2048,2,256,0.9564,73.0,9.53,25.0,1
2048,4,32,0.8288,86.0,3.04,45.0,1
2048,4,64,0.882,80.0,3.71,39.0,1
2048,4,128,0.9222,83.0,5.37,39.0,1
2048,4,256,0.9591,93.0,9.63,45.0,1
2048,4,400,0.9753,160.0,13.66,133.0,1
2048,4,512,0.9835,164.0,16.58,132.0,1
2048,4,648,0.9891,169.0,21.17,134.0,1
2048,4,800,0.9937,174.0,26.85,132.0,1
2048,4,1024,0.9972,179.0,32.48,131.0,1
2048,8,32,0.8367,110.0,3.08,69.0,1
2048,8,64,0.8834,116.0,3.66,75.0,1
2048,8,128,0.9269,115.0,5.26,71.0,1
2048,8,256,0.9621,116.0,9.88,68.0,1
2048,8,400,0.9785,191.0,11.72,163.0,1
2048,8,512,0.9872,188.0,14.88,157.0,1
2048,8,648,0.9921,194.0,19.99,157.0,1
2048,16,32,0.8483,169.0,3.09,128.0,1
2048,16,64,0.8915,178.0,3.85,135.0,1
2048,16,128,0.9333,180.0,5.61,135.0,1
2048,16,256,0.9657,184.0,10.51,133.0,1
4096,2,32,0.7861,97.0,3.1,54.0,1
4096,2,64,0.8453,98.0,3.34,55.0,1
4096,2,128,0.8958,92.0,4.16,49.0,1
4096,2,256,0.9356,100.0,5.96,56.0,1
4096,4,32,0.7941,130.0,3.08,87.0,1
4096,4,64,0.8507,129.0,3.43,86.0,1
4096,4,128,0.896,128.0,3.96,85.0,1
4096,4,256,0.9338,130.0,5.67,86.0,1
4096,4,512,0.966,290.0,9.9,265.0,1
4096,4,648,0.9745,291.0,11.65,266.0,1
4096,4,800,0.9817,296.0,14.6,265.0,1
4096,4,1024,0.9887,297.0,16.08,265.0,1
4096,8,32,0.8042,189.0,2.99,146.0,1
4096,8,64,0.8559,186.0,3.48,144.0,1
4096,8,128,0.9023,190.0,4.13,147.0,1
4096,8,512,0.9689,352.0,9.01,328.0,1
4096,8,648,0.9785,345.0,11.3,320.0,1
